AnimeIndex,AnimeName,AnimeYear,AnimeImage
182,Cromartie High School,2003,https://cdn.myanimelist.net/images/anime/1419/101839l.jpg
183,Bobobo-bo Bo-bobo,2003,https://cdn.myanimelist.net/images/anime/6/44540l.jpg
184,F-Zero: Falcon Densetsu,2003,https://cdn.myanimelist.net/images/anime/8/29222l.jpg
185,Fullmetal Alchemist,2003,https://cdn.myanimelist.net/images/anime/10/75815l.jpg
186,Planetes,2003,https://cdn.myanimelist.net/images/anime/8/50463.jpg
187,Chrno Crusade,2003,https://cdn.myanimelist.net/images/anime/13/14141l.jpg
188,Tokyo Godfathers,2003,https://cdn.myanimelist.net/images/anime/4/15246l.jpg
189,Mousou Dairinin (Paranoia Agent),2004,https://cdn.myanimelist.net/images/anime/1278/96826l.jpg
190,Futari wa Precure (Pretty Cure),2004,https://cdn.myanimelist.net/images/anime/7/20639l.jpg
191,Samurai Champloo,2004,https://cdn.myanimelist.net/images/anime/5/2026l.jpg
192,Gantz,2004,https://cdn.myanimelist.net/images/anime/13/5998l.jpg
193,Monster,2004,https://cdn.myanimelist.net/images/anime/10/18793l.jpg
194,Tenjou Tenge,2004,https://cdn.myanimelist.net/images/anime/10/8380l.jpg
195,Midori no Hibi,2004,https://cdn.myanimelist.net/images/anime/5/10232l.jpg
196,Keroro Gunsou (Sargento Keroro),2004,https://cdn.myanimelist.net/images/anime/1049/106032l.jpg
197,Elfen Lied,2004,https://cdn.myanimelist.net/images/anime/8/16396l.jpg
198,DearS,2004,https://cdn.myanimelist.net/images/anime/1207/98872l.jpg
199,Samurai 7,2004,https://cdn.myanimelist.net/images/anime/1190/95421l.jpg
200,Girls Bravo,2004,https://cdn.myanimelist.net/images/anime/1/241l.jpg
201,Bleach,2004,https://cdn.myanimelist.net/images/anime/3/40451l.jpg
202,School Rumble,2004,https://cdn.myanimelist.net/images/anime/11/20419l.jpg
203,Rozen Maiden,2004,https://cdn.myanimelist.net/images/anime/13/15723l.jpg
204,Mahou Shoujo Lyrical Nanoha,2004,https://cdn.myanimelist.net/images/anime/4/20747l.jpg
205,Yakitate!! Japan,2004,https://cdn.myanimelist.net/images/anime/3/76432l.jpg
206,Black Jack,2004,https://cdn.myanimelist.net/images/anime/11/14889l.jpg
207,Viewtiful Joe,2004,https://cdn.myanimelist.net/images/anime/1/278l.jpg
208,Howl no Ugoku Shiro (El Castillo Ambulante),2004,https://cdn.myanimelist.net/images/anime/5/73129l.jpg
209,Aa! Megami-sama!,2005,https://cdn.myanimelist.net/images/anime/1976/99376l.jpg
210,Mahou Sensei Negima!,2005,https://cdn.myanimelist.net/images/anime/12/89535l.jpg
211,Peach Girl,2005,https://cdn.myanimelist.net/images/anime/13/75579l.jpg
212,Xenosaga,2005,https://cdn.myanimelist.net/images/anime/3/75162l.jpg
213,Buzzer Beater,2005,https://cdn.myanimelist.net/images/anime/6/57421l.jpg
214,Koukyoushihen Eureka Seven,2005,https://cdn.myanimelist.net/images/anime/12/34443l.jpg
215,Tsubasa Chronicle,2005,https://cdn.myanimelist.net/images/anime/9/6555l.jpg
216,Trinity Blood,2005,https://cdn.myanimelist.net/images/anime/10/24649.jpg
217,Eyeshield 21,2005,https://cdn.myanimelist.net/images/anime/12/66961.jpg
218,The Law of Ueki,2005,https://cdn.myanimelist.net/images/anime/1250/90876l.jpg
219,Ichigo 100%,2005,https://cdn.myanimelist.net/images/anime/11/22487l.jpg
220,Erementar Gerad,2005,https://cdn.myanimelist.net/images/anime/2/79163l.jpg
221,MÄR,2005,https://cdn.myanimelist.net/images/anime/8/38383.jpg
222,Gun x Sword,2005,https://cdn.myanimelist.net/images/anime/1468/98791.jpg
223,Amaenaide yo!!,2005,https://cdn.myanimelist.net/images/anime/2/32071l.jpg
224,Mushishi,2005,https://cdn.myanimelist.net/images/anime/2/73862l.jpg
225,Shakugan no Shana,2005,https://cdn.myanimelist.net/images/anime/1314/98656l.jpg
226,Black Cat,2005,https://cdn.myanimelist.net/images/anime/11/75180.jpg
227,Karin,2005,https://cdn.myanimelist.net/images/anime/3/46833l.jpg
228,Fate/stay night,2006,https://cdn.myanimelist.net/images/anime/4/30327l.jpg
229,Ergo Proxy,2006,https://cdn.myanimelist.net/images/anime/1581/101933l.jpg
230,Ouran Koukou Host Club,2006,https://cdn.myanimelist.net/images/anime/1004/92393l.jpg
231,Gintama,2006,https://cdn.myanimelist.net/images/anime/1694/95903l.jpg
232,Black Lagoon,2006,https://cdn.myanimelist.net/images/anime/7/23421l.jpg
233,Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),2006,https://cdn.myanimelist.net/images/anime/8/89073l.jpg
234,Higurashi no Naku Koro ni,2006,https://cdn.myanimelist.net/images/anime/12/19634l.jpg
235,Nana,2006,https://cdn.myanimelist.net/images/anime/2/11232l.jpg
236,Air Gear,2006,https://cdn.myanimelist.net/images/anime/11/18227l.jpg
237,xxxHOLiC,2006,https://cdn.myanimelist.net/images/anime/1804/99349l.jpg
238,Strawberry Panic,2006,https://cdn.myanimelist.net/images/anime/7/17844l.jpg
239,Witchblade,2006,https://cdn.myanimelist.net/images/anime/1/935l.jpg
240,Oban Star-Racers,2006,https://cdn.myanimelist.net/images/anime/12/3702l.jpg
241,Makai Senki Disgaea,2006,https://cdn.myanimelist.net/images/anime/6/20438l.jpg
242,Renkin San-kyuu Magical? Pokaan,2006,https://cdn.myanimelist.net/images/anime/6/20618l.jpg
243,Zero no Tsukaima,2006,https://cdn.myanimelist.net/images/anime/2/10137l.jpg
244,NHK ni Youkoso!,2006,https://cdn.myanimelist.net/images/anime/3/52675l.jpg
245,Tonagura!,2006,https://cdn.myanimelist.net/images/anime/1/1218l.jpg
246,Pucca,2006,https://cdn.myanimelist.net/images/anime/3/15145l.jpg
247,Death Note,2006,https://cdn.myanimelist.net/images/anime/9/9453l.jpg
248,Code Geass: Hangyaku no Lelouch,2006,https://cdn.myanimelist.net/images/anime/10/73246l.jpg
249,D.Gray-man,2006,https://cdn.myanimelist.net/images/anime/13/75194l.jpg
250,Katekyo Hitman Reborn!,2006,https://cdn.myanimelist.net/images/anime/13/80000l.jpg
251,Shijou Saikyou no Deshi Kenichi,2006,https://cdn.myanimelist.net/images/anime/9/75515l.jpg
252,Busou Renkin,2006,https://cdn.myanimelist.net/images/anime/1243/107239l.jpg
253,Kekkaishi,2006,https://cdn.myanimelist.net/images/anime/1279/117218l.jpg
254,Black Blood Brothers,2006,https://cdn.myanimelist.net/images/anime/10/21024l.jpg
255,Bartender,2006,https://cdn.myanimelist.net/images/anime/13/67397l.jpg
256,Sumomomo Momomo: Chijou Saikyou no Yome,2006,https://cdn.myanimelist.net/images/anime/8/2357l.jpg
257,Paprika,2006,https://cdn.myanimelist.net/images/anime/1929/93629l.jpg
258,Toki wo Kakeru Shoujo (La Chica que Saltaba a través del Tiempo),2006,https://cdn.myanimelist.net/images/anime/4/66129l.jpg
259,Nodame Cantabile,2007,https://cdn.myanimelist.net/images/anime/1296/119099l.jpg
260,Naruto: Shippuuden,2007,https://cdn.myanimelist.net/images/anime/5/17407l.jpg
261,Tengen Toppa Gurren Lagann,2007,https://cdn.myanimelist.net/images/anime/4/5123.jpg
262,Darker than Black: Kuro no Keiyakusha,2007,https://cdn.myanimelist.net/images/anime/6/3605.jpg
263,Claymore,2007,https://cdn.myanimelist.net/images/anime/3/21834.jpg
264,Lucky Star,2007,https://cdn.myanimelist.net/images/anime/1561/115660l.jpg
265,Nagasarete Airantou,2007,https://cdn.myanimelist.net/images/anime/7/75254l.jpg
266,Lovely Complex,2007,https://cdn.myanimelist.net/images/anime/11/75563l.jpg
267,Kaze no Stigma,2007,https://cdn.myanimelist.net/images/anime/12/23136l.jpg
268,Afro Samurai,2007,https://cdn.myanimelist.net/images/anime/3/15874.jpg
269,Seto no Hanayome,2007,https://cdn.myanimelist.net/images/anime/13/58383l.jpg
270,Hayate no Gotoku!,2007,https://cdn.myanimelist.net/images/anime/2/22471l.jpg
271,Blue Dragon,2007,https://cdn.myanimelist.net/images/anime/2/20597l.jpg
272,El Cazador de la Bruja,2007,https://cdn.myanimelist.net/images/anime/11/21535l.jpg
273,Baccano!,2007,https://cdn.myanimelist.net/images/anime/3/14547.jpg
274,School Days,2007,https://cdn.myanimelist.net/images/anime/8/86373.jpg
275,Sayonara Zetsubou Sensei,2007,https://cdn.myanimelist.net/images/anime/5/6559l.jpg
276,Devil May Cry,2007,https://cdn.myanimelist.net/images/anime/1890/95931l.jpg
277,Zombie-Loan,2007,https://cdn.myanimelist.net/images/anime/2/21539l.jpg
278,Clannad,2007,https://cdn.myanimelist.net/images/anime/1804/95033.jpg
279,Shugo Chara!,2007,https://cdn.myanimelist.net/images/anime/4/22332l.jpg
280,Kodomo no Jikan,2007,https://cdn.myanimelist.net/images/anime/8/28234l.jpg
281,Bamboo Blade,2007,https://cdn.myanimelist.net/images/anime/13/6979l.jpg
282,Majin Tantei Nougami Neuro,2007,https://cdn.myanimelist.net/images/anime/12/20930l.jpg
283,Juushin Enbu: Hero Tales,2007,https://cdn.myanimelist.net/images/anime/7/75193.jpg
284,Sword of the Stranger: El Samurai sin Nombre,2007,https://cdn.myanimelist.net/images/anime/9/87066l.jpg
285,Ookami to Koushinryou (Spice and Wolf),2008,https://cdn.myanimelist.net/images/anime/5/59401l.jpg
286,Rosario + Vampire,2008,https://cdn.myanimelist.net/images/anime/3/25062l.jpg
287,True Tears,2008,https://cdn.myanimelist.net/images/anime/5/11754l.jpg
288,Soul Eater,2008,https://cdn.myanimelist.net/images/anime/9/7804l.jpg
289,To LOVE-Ru,2008,https://cdn.myanimelist.net/images/anime/10/20614l.jpg
290,Special A,2008,https://cdn.myanimelist.net/images/anime/12/10074l.jpg
291,Vampire Knight,2008,https://cdn.myanimelist.net/images/anime/1702/94761l.jpg
292,Kanokon,2008,https://cdn.myanimelist.net/images/anime/11/9490l.jpg
293,Macross F,2008,https://cdn.myanimelist.net/images/anime/2/6011l.jpg
294,Chi's Sweet Home,2008,https://cdn.myanimelist.net/images/anime/6/7632l.jpg
295,Kamen no Maid Guy,2008,https://cdn.myanimelist.net/images/anime/2/20152l.jpg
296,Natsume Yuujinchou,2008,https://cdn.myanimelist.net/images/anime/8/22697l.jpg
297,Sekirei,2008,https://cdn.myanimelist.net/images/anime/10/15182l.jpg
298,Strike Witches,2008,https://cdn.myanimelist.net/images/anime/7/17635l.jpg
299,Nogizaka Haruka no Himitsu,2008,https://cdn.myanimelist.net/images/anime/11/56965l.jpg
300,Toradora!,2008,https://cdn.myanimelist.net/images/anime/13/22128l.jpg
301,Kuroshitsuji,2008,https://cdn.myanimelist.net/images/anime/5/27013l.jpg
302,Toaru Majutsu no Index,2008,https://cdn.myanimelist.net/images/anime/2/75533l.jpg
303,ChäoS;HEAd,2008,https://cdn.myanimelist.net/images/anime/13/15443l.jpg
304,Ga-Rei: Zero,2008,https://cdn.myanimelist.net/images/anime/1891/118998l.jpg
